bus_id,route,bus_type,depot,date,capacity,passengers,occupancy_rate,distance_km,fare_per_passenger,revenue,fuel_consumed_liters,month,day_of_week,trip_time,hour,peak_hour,weekend,holiday,event_flag,weather_condition,bus_stop,next_bus_arrival_min,bus_frequency_min,current_onboard,waiting_crowd,boarding_count,alighting_count,vision_waiting_count,vision_boarding_count,passengers_after_stop,occupancy_after_stop,future_passengers,future_occupancy_rate,crowd_level,future_crowd_level,waiting_pressure_pct,available_seats_before_boarding
AP0001,Kurnool-Hyderabad,Volvo AC,Guntur,2024-11-26,49,32,65.77,326.58,908.75,29079.96,75.73,November,Tuesday,19:50,19,1,0,0,1,Clear,Market Stop,12,30,32,29,7,3,29,7,36,73.47,44,89.8,MODERATE,HIGH,59.18,17
AP0002,Anantapur-Bangalore,Sleeper,Tirupati,2024-10-03,36,14,41.42,291.91,770.66,10789.3,71.55,October,Thursday,13:00,13,0,0,0,0,Cloudy,Central Bus Station,9,5,14,16,11,3,16,11,22,61.11,25,69.44,MODERATE,MODERATE,44.44,22
AP0003,Hyderabad-Vijayawada,Volvo AC,Vijayawada,2024-07-06,49,43,89.26,238.41,277.49,11932.08,47.85,July,Saturday,20:20,20,0,1,0,0,Clear,College Road Stop,17,20,43,21,6,4,21,6,45,91.84,49,100.0,HIGH,HIGH,42.86,6
AP0004,Eluru-Hyderabad,Semi-Sleeper,Kurnool,2024-11-02,63,52,83.97,347.55,199.64,10381.38,72.64,November,Saturday,17:25,17,1,1,0,0,Cloudy,Market Stop,21,15,52,20,6,2,20,6,56,88.89,61,96.83,HIGH,HIGH,31.75,11
AP0005,Kurnool-Hyderabad,Sleeper,Hyderabad,2024-09-20,44,31,70.62,444.88,591.89,18348.44,77.17,September,Friday,09:45,9,1,0,0,0,Cloudy,College Road Stop,10,20,31,21,5,6,21,5,30,68.18,34,77.27,MODERATE,MODERATE,47.73,13
AP0006,Eluru-Hyderabad,Super Luxury,Kurnool,2024-09-16,49,33,68.86,212.21,421.03,13893.87,50.32,September,Monday,22:05,22,0,0,0,1,Cloudy,Railway Station Stop,24,5,33,23,5,4,23,5,34,69.39,37,75.51,MODERATE,MODERATE,46.94,16
AP0007,Guntur-Hyderabad,Sleeper,Nellore,2024-10-30,40,37,93.01,371.86,668.27,24725.94,71.44,October,Wednesday,19:25,19,1,0,0,0,Clear,College Road Stop,20,15,37,17,7,4,17,7,40,100.0,35,87.5,HIGH,HIGH,42.5,3
AP0008,Eluru-Hyderabad,Semi-Sleeper,Nellore,2024-02-22,55,41,75.38,202.15,295.16,12101.44,51.51,February,Thursday,19:05,19,1,0,0,0,Rainy,Market Stop,7,20,41,14,8,2,14,8,47,85.45,46,83.64,HIGH,HIGH,25.45,14
AP0009,Nellore-Chennai,Express,Hyderabad,2024-12-10,55,13,24.74,265.66,434.36,5646.7,64.96,December,Tuesday,09:45,9,1,0,0,0,Cloudy,Central Bus Station,29,10,13,23,8,4,23,8,17,30.91,14,25.45,LOW,LOW,41.82,42
AP0010,Kurnool-Hyderabad,Ordinary,Hyderabad,2024-08-18,63,55,88.32,397.6,296.57,16311.34,71.73,August,Sunday,13:35,13,0,1,0,0,Clear,Central Bus Station,4,30,55,11,8,0,11,8,63,100.0,58,92.06,HIGH,HIGH,17.46,8
AP0011,Kakinada-Vijayawada,Ordinary,Tirupati,2024-03-02,59,46,79.51,325.43,276.5,12719.05,83.78,March,Saturday,13:25,13,0,1,0,0,Hot,Market Stop,21,15,46,5,5,5,5,5,46,77.97,51,86.44,MODERATE,HIGH,8.47,13
AP0012,Nellore-Chennai,Sleeper,Visakhapatnam,2024-05-10,44,32,72.76,246.22,416.65,13332.87,55.46,May,Friday,21:20,21,0,0,0,0,Cloudy,Market Stop,15,10,32,15,3,5,15,3,30,68.18,34,77.27,MODERATE,MODERATE,34.09,12
AP0013,Hyderabad-Vijayawada,Sleeper,Vijayawada,2024-02-11,44,27,62.34,235.7,559.65,15110.65,45.7,February,Sunday,16:05,16,0,1,0,0,Hot,College Road Stop,21,5,27,21,10,1,21,10,36,81.82,41,93.18,HIGH,HIGH,47.73,17
AP0014,Chittoor-Bangalore,Sleeper,Visakhapatnam,2024-08-18,36,19,54.02,440.35,715.67,13597.7,97.53,August,Sunday,20:55,20,0,1,0,0,Hot,Market Stop,24,5,19,2,2,5,2,2,16,44.44,19,52.78,LOW,LOW,5.56,17
AP0015,Kadapa-Hyderabad,Super Luxury,Guntur,2024-05-13,49,33,67.47,203.3,478.73,15797.96,38.99,May,Monday,13:35,13,0,0,0,0,Hot,City Center Stop,22,15,33,18,7,3,18,7,37,75.51,33,67.35,MODERATE,MODERATE,36.73,16
AP0016,Chittoor-Bangalore,Volvo AC,Tirupati,2024-10-09,49,31,63.51,279.79,1074.37,33305.55,66.02,October,Wednesday,11:15,11,0,0,0,0,Rainy,Main Road Stop,21,15,31,0,0,3,0,0,28,57.14,21,42.86,LOW,LOW,0.0,18
AP0017,Ongole-Hyderabad,Ordinary,Tirupati,2024-06-13,59,35,59.71,84.48,142.05,4971.71,17.69,June,Thursday,15:20,15,0,0,0,0,Cloudy,Market Stop,26,30,35,10,3,2,10,3,36,61.02,46,77.97,MODERATE,MODERATE,16.95,24
AP0018,Hyderabad-Vijayawada,Super Luxury,Vijayawada,2024-06-28,49,35,72.51,279.52,667.94,23377.92,83.86,June,Friday,08:40,8,1,0,0,0,Clear,College Road Stop,22,20,35,31,12,4,31,12,43,87.76,46,93.88,HIGH,HIGH,63.27,14
AP0019,Hyderabad-Vijayawada,Semi-Sleeper,Hyderabad,2024-04-22,63,39,62.66,246.22,182.32,7110.43,54.97,April,Monday,20:40,20,0,0,0,0,Clear,Central Bus Station,25,5,39,10,10,2,10,10,47,74.6,56,88.89,MODERATE,HIGH,15.87,24
AP0020,Nellore-Chennai,Ordinary,Visakhapatnam,2024-05-05,59,59,100.0,341.99,254.82,15034.29,79.41,May,Sunday,16:25,16,0,1,0,0,Rainy,Main Road Stop,14,15,59,15,2,2,15,2,59,100.0,55,93.22,HIGH,HIGH,25.42,0
AP0021,Hyderabad-Visakhapatnam,Sleeper,Tirupati,2024-05-02,44,20,45.9,632.86,1053.71,21074.13,124.05,May,Thursday,19:15,19,1,0,0,0,Clear,College Road Stop,8,15,20,25,6,3,25,6,23,52.27,25,56.82,LOW,LOW,56.82,24
AP0022,Hyderabad-Vijayawada,Semi-Sleeper,Guntur,2024-07-19,63,60,95.88,282.69,362.42,21744.99,57.28,July,Friday,13:35,13,0,0,0,0,Rainy,Railway Station Stop,9,5,60,4,3,2,4,3,61,96.83,60,95.24,HIGH,HIGH,6.35,3
AP0023,Chittoor-Bangalore,Super Luxury,Kurnool,2024-05-26,53,36,68.63,421.81,718.45,25864.23,112.82,May,Sunday,22:35,22,0,1,0,0,Clear,College Road Stop,20,20,36,12,7,4,12,7,39,73.58,48,90.57,MODERATE,HIGH,22.64,17
AP0024,Vijayawada-Visakhapatnam,Volvo AC,Hyderabad,2024-05-30,53,48,91.0,398.2,616.12,29573.53,75.98,May,Thursday,21:35,21,0,0,0,0,Clear,Railway Station Stop,17,15,48,12,7,3,12,7,52,98.11,51,96.23,HIGH,HIGH,22.64,5
AP0025,Eluru-Hyderabad,Semi-Sleeper,Vijayawada,2024-01-02,59,33,56.54,351.3,315.08,10397.69,73.15,January,Tuesday,19:00,19,1,0,0,0,Clear,City Center Stop,5,5,33,31,4,7,31,4,30,50.85,35,59.32,LOW,LOW,52.54,26
AP0026,Hyderabad-Vijayawada,Semi-Sleeper,Tirupati,2024-10-30,63,48,77.29,256.45,330.04,15841.86,74.47,October,Wednesday,11:25,11,0,0,0,0,Clear,City Center Stop,8,15,48,5,5,3,5,5,50,79.37,57,90.48,MODERATE,HIGH,7.94,15
AP0027,Hyderabad-Tirupati,Volvo AC,Kurnool,2024-04-21,57,53,93.26,571.35,923.53,48946.99,96.33,April,Sunday,14:35,14,0,1,0,0,Clear,City Center Stop,30,20,53,10,9,5,10,9,57,100.0,48,84.21,HIGH,HIGH,17.54,4
AP0028,Ongole-Hyderabad,Ordinary,Visakhapatnam,2024-06-09,63,28,45.98,230.87,238.56,6679.7,45.94,June,Sunday,07:55,7,1,1,0,0,Clear,Central Bus Station,23,10,28,14,8,1,14,8,35,55.56,33,52.38,LOW,LOW,22.22,35
